player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,trank_year
Anaya Coleman,Buffalo,MAC,26,33.6,68.4,16.4,33.1,38,3.3,7,16,35.6,16,22,0.727,13,36,0.361,11,53,0.208,0.5,1.5,24.7,Sr,5-6,2,-0.680376,63.5762,2.7,2026,74890,"Pittsford, NY",,0.74422544,10,25,3,11,0.4,0.2727,0,0,,,102.982,103.285,0.803873,64.3032,-8.33322,-5.11638,-3.21684,-7.48449,15.5308,-4.87124,-2.61325,0.5,1,1.5,1.2308,0.4231,0.0769,2.8846,Combo G,7.2283,,2026
Taliya Council,UNC Asheville,BSth,21,14.4,79.2,10.5,32.6,41.31,1.3,7.6,8.2,27.3,8,11,0.727,6,19,0.316,1,4,0.25,2.6,1.4,47.8,So,6-0,0,-0.359048,62.3344,5.1,2026,74891,"Lumberton, NC",,1,2,11,4,8,0.1818,0.5,0,0,,,92.5166,103.337,0.384878,27.614,-7.41058,-6.02096,-1.38961,-6.26646,7.4,-6.07193,-0.194526,0.1304,0.6957,0.8261,0.3478,0.2609,0.2609,1.2174,Combo G,1.43369,,2026
Zaria Harleaux,Mount St. Mary's,MAAC,17,16,95,21.6,44,53.56,10.7,16,7.2,24.4,27,37,0.73,22,50,0.44,0,0,0,4.1,2.3,74,--,6-1,8,0.640791,92.5527,7.9,2026,74917,"Baton Rouge, LA",,0.33330186,19,45,3,5,0.4222,0.6,0,0,,,86.1386,95.9707,0.865609,43.6348,-3.28876,-3.08263,-0.206137,-3.09964,11.3765,-2.91922,-0.180422,1.1765,1.7059,2.8824,0.3529,0.4706,0.4118,4.1765,Wing G,0,,2026
Aaliyah McQueen,Detroit Mercy,Horz,21,49.2,85.6,22.6,41.3,42.84,5.1,13.6,15.3,18.3,16,23,0.696,49,129,0.38,32,106,0.302,2.1,3.3,9.8,Sr,5-9,1,0.992801,86.3691,3.7,2026,74925,"Flint, MI",,0.88635928,20,40,29,89,0.5,0.3258,0,0,,,98.0814,100.129,1.76459,129.408,-0.704431,0.0115033,-0.715934,-0.779492,28.1381,0.141514,-0.921005,1.4286,3.2857,4.7143,1.8571,1.6667,0.5714,10,Wing G,9.98626,,2026
Fernanda Ovalle,Eastern Michigan,MAC,28,75.8,91.2,23.8,44.2,48,3.5,7.1,11.4,18.7,63,90,0.7,96,188,0.511,32,138,0.232,2.1,1.4,27.6,Fr,5-10,6,2.05188,95.7049,2.5,2026,74928,"Santiago, Chile",,0.71016682,84,143,12,45,0.5874,0.2667,0,0,,,100.203,100.835,1.82768,142.958,-2.31075,-0.129309,-2.18144,-1.54213,30.0517,0.624399,-2.16653,0.9655,2.0345,3,1.6897,0.7586,0.6897,12.3793,Wing G,9.17663,,2026
Bria McClure,Incarnate Word,Slnd,7,5.1,67.4,26.1,36,36.71,1.9,9.7,7.8,27.3,1,2,0.5,0,2,0,6,23,0.261,0,2,8,Sr,5-5,8,-0.1142,72.1523,3.5,2026,75054,"San Antonio, TX",,0.57142857,0,1,0,1,0,0,0,0,,,105.036,108.441,0.275303,9.66503,-11.1585,-4.70159,-6.4569,-12.1392,8.575,-5.4548,-6.68443,0.125,0.875,1,0.5,0.25,0,2.75,Combo G,23.1971,,2026
Kyriana Jones,Tarleton St.,WAC,26,60.4,81.5,18.9,41.1,45.03,4.5,11.2,8.4,25.2,38,57,0.667,54,136,0.397,18,61,0.295,0.1,1.2,28.9,Sr,5-10,2,0.39611,80.442,3.2,2026,75083,"Little Rock, AR",,0.49997744,30,69,24,67,0.4348,0.3582,0,0,,,96.5019,97.8734,1.89864,120.824,-3.89033,-2.09124,-1.79909,-4.74069,27.1571,-2.61434,-2.12635,1.0714,3,4.0714,1.1071,0.75,0.0357,7.8571,Wing G,4.84294,,2026
Bella Weary,Arkansas St.,SB,36,42.8,98.5,22.6,49.8,54.31,5.2,12.9,14.5,24.3,63,90,0.7,69,137,0.504,27,83,0.325,0.2,5.2,40.9,Sr,5-6,23,1.50364,101.484,3.2,2026,75189,"Jacksonville, FL",,0.71011853,58,106,11,31,0.5472,0.3548,0,0,,,81.836,81.4588,2.18519,163.799,3.70203,0.885447,2.81658,4.846,17.3351,1.69037,3.15563,0.9459,2,2.9459,1.3243,1.7838,0.027,7.7297,Combo G,6.89723,,2026
Carleigh Andrews,UMKC,Sum,7,5.7,77.1,11.1,42.9,51.87,0,0,3,34.2,4,6,0.667,3,6,0.5,0,1,0,0,4.7,85.7,Sr,5-6,13,-0.406512,62.9744,3.2,2026,75196,"Tuscaloosa, AL",,0.25,3,4,0,2,0.75,0,0,0,,,105.28,107.858,0.317873,11.066,-4.84613,-3.39899,-1.44713,-4.93923,9.3222,-5.49014,0.550912,0,0.2222,0.2222,0.1111,0.8889,0,1.7778,Combo G,0.939762,,2026
Jersey Wolfenbarger,Tennessee,SEC,19,12,96.4,9.4,42.1,43.55,11.4,11,1.1,19.7,4,9,0.444,8,19,0.421,0,0,0,5.9,3.7,47.4,Sr,6-5,8,0.304736,87.7804,6.7,2026,75234,"Fort Smith, AR",98.8,0.19984801,8,18,0,1,0.4444,0,0,0,,,89.2883,78.8044,1.03818,34.8726,8.01996,2.28605,5.73391,4.32118,7.5842,-0.197417,4.5186,0.8947,0.7368,1.6316,0.0526,0.5263,0.4737,1.0526,PF/C,0,,2026
