21,Seattle Storm,Evina Westbrook,,UConn,2,38,,8.8,2,1,0.9,,-0.4,-0.046
22,Minnesota Lynx,Kayla Jones,,NC State,0,,,,,,,,,
23,Las Vegas Aces,Aisha Sheppard,,Virginia Tech,1,23,,7.6,1.5,0.6,0.3,,-0.2,-0.04
24,Connecticut Sun,Jordan Lewis,,Baylor,0,,,,,,,,,
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,Indiana Fever,Meshya Williams-Holliday,,Jackson State University,0,,,,,,,,,
26,Phoenix Mercury,Maya Dodson,,Notre Dame,0,,,,,,,,,
27,Los Angeles Sparks,Amy Atwell,,Hawaii,2,10,,9.1,1.8,0.8,0.8,,-0.2,-0.095
28,Minnesota Lynx,Hannah Sjerven,,South Dakota,1,3,,3,0,0,0,,0,-0.09
29,New York Liberty,Sika Koné,Mali,,3,66,,7.4,3.1,2,0.4,,1.1,0.089
30,Dallas Wings,Jasmine Dickey,,University of Delaware,2,34,,5.3,1.5,0.7,0.1,,-0.4,-0.095
31,Dallas Wings,Jazz Bond,,University of North Florida,0,,,,,,,,,
32,Phoenix Mercury,Macee Williams,,IUPUI,0,,,,,,,,,
33,Seattle Storm,Jade Melbourne,Australia,,3,109,,16.9,4.9,1.6,2,,0.1,0.003
34,Indiana Fever,Ali Patberg,,Indiana,0,,,,,,,,,
35,Las Vegas Aces,Faustine Aifuwa,,LSU,0,,,,,,,,,
36,Connecticut Sun,Kiara Smith,,Florida,0,,,,,,,,,
1,Dallas Wings,Charli Collier,,Texas,2,45,,9.4,2.9,2.5,0.2,,0.5,0.046
2,Dallas Wings,Awak Kuier,Finland,,3,86,,11.1,2.6,2.5,0.7,,1,0.041
3,Atlanta Dream,Aari McDonald,,Arizona,5,136,,22.3,8.8,2,3.1,,5,0.066
4,Indiana Fever,Kysre Gondrezick,,West Virginia,2,24,,7.9,1.7,0.9,0.8,,-0.6,-0.126
5,Dallas Wings,Chelsea Dungee,,Arkansas,1,14,,4.6,0.6,0.2,0.1,,-0.3,-0.159
6,New York Liberty,Michaela Onyenwere,,UCLA,5,182,,19.1,6.9,2.4,0.9,,0,-0.001
7,Los Angeles Sparks,Jasmine Walker,,Alabama,2,34,,8.9,1.5,1.4,0.2,,-1,-0.134
8,Chicago Sky,Shyla Heal,Australia,,1,4,,7.8,2,0.8,0.8,,-0.3,-0.41
9,Minnesota Lynx,Rennia Davis,,Tennessee,1,8,,5.4,1.3,1,0.1,,-0.1,-0.134
10,Los Angeles Sparks,Stephanie Watts,,UNC,1,6,,14,2.5,3.7,0.5,,-0.1,-0.061
11,Seattle Storm,Aaliyah Wilson,,Texas A&M,1,14,,8.5,1.1,0.9,0.6,,-0.5,-0.165
12,Las Vegas Aces,Iliana Rupert,France,,3,58,,14.9,5.1,2.7,1,,2.7,0.123
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Dallas Wings,Dana Evans,,Louisville,5,184,,16.1,6.3,1,2.1,,2.9,0.039
14,Las Vegas Aces,Destiny Slocum,,Arkansas,2,24,,7.3,1.5,1,0.7,,0.1,0.018
15,Atlanta Dream,Raquel Carrera Quintana,Spain,,0,,,,,,,,,
16,Chicago Sky,Natasha Mack,,Oklahoma State,3,78,,16.2,4.1,5.1,0.9,,5.5,0.174
17,New York Liberty,DiDi Richards,,Baylor,3,64,,10.9,2.3,1.4,0.9,,0.1,0.006
18,Seattle Storm,Kiana Williams,,Stanford,4,38,,5.7,1.7,0.5,0.6,,-0.1,-0.015
19,Indiana Fever,Unique Thompson,,Auburn,0,,,,,,,,,
20,Connecticut Sun,DiJonai Carrington,,Baylor,5,162,,20,8.5,3.5,1.2,,6.1,0.075
21,Connecticut Sun,Micaela Kelly,,Central Michigan University,0,,,,,,,,,
22,Los Angeles Sparks,Arella Guirantes,,Rutgers University,2,34,,9.9,2.7,1.1,0.5,,-0.5,-0.059
23,Seattle Storm,N'dea Jones,,Texas A&M,0,,,,,,,,,
24,Indiana Fever,Trinity Baptiste,,Arizona,0,,,,,,,,,
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,New York Liberty,Valerie Higgins,,University of the Pacific,0,,,,,,,,,
26,Indiana Fever,Chelsey Perry,,University of Tennessee at Martin,1,6,,6.7,2.2,1,0.3,,-0.1,-0.115
27,Atlanta Dream,Lindsey Pulliam,,Northwestern,0,,,,,,,,,
28,Los Angeles Sparks,Ivana Raca,,Wake Forest,0,,,,,,,,,
29,New York Liberty,Marine Fauthoux,France,,0,,,,,,,,,
30,Connecticut Sun,Aleah Goodman,,Oregon State,1,1,,3,0,0,1,,0,0.206
31,Indiana Fever,Florencia Chagas,Argentina,,0,,,,,,,,,
32,Phoenix Mercury,Ciera Johnson,,Texas A&M,0,,,,,,,,,
33,Indiana Fever,Maya Caldwell,,Georgia,4,105,,16,4.8,2.1,1.3,,2.8,0.068
34,Los Angeles Sparks,Aina Ayuso,Spain,,0,,,,,,,,,
35,Seattle Storm,Natalie Kucowski,,Lafayette College,0,,,,,,,,,
36,Las Vegas Aces,Kionna Jeter,,Towson University,,,,,,,,,,
1,New York Liberty,Sabrina Ionescu,,Oregon,6,181,,31.4,16.7,5.5,5.9,,20.7,0.146
2,Dallas Wings,Satou Sabally,,Oregon,6,136,,28.8,15.9,6.7,3.3,,13.5,0.138
3,Indiana Fever,Lauren Cox,,Baylor,3,41,,11.9,2.9,3,0.8,,0.6,0.053
4,Atlanta Dream,Chennedy Carter,,Texas A&M,4,84,,23.1,14.6,2.5,2.8,,3.8,0.078
5,Dallas Wings,Bella Alarie,,Princeton,2,53,,13.5,2.6,3.1,0.5,,1.4,0.076
6,Minnesota Lynx,Mikiah Herbert Harrigan,,South Carolina,3,53,,10.8,3.3,1.8,0.3,,0.4,0.027
7,Dallas Wings,Tyasha Harris,,South Carolina,6,172,,19.5,6.5,1.3,2.6,,6.3,0.075
8,Chicago Sky,Ruthy Hebard,,Oregon,4,95,,13,4.5,3.2,0.5,,4.6,0.149
9,New York Liberty,Megan Walker,,UConn,3,59,,12.6,3.9,1.3,0.6,,-1.2,-0.066
10,Phoenix Mercury,Jocelyn Willoughby,,Virginia,3,62,,11.2,3.1,1.5,0.6,,0.3,0.015
11,Seattle Storm,Kitija Laksa,Latvia,,1,33,,19,5.9,1.2,0.6,,0.6,0.04
12,New York Liberty,Jazmine Jones,,Louisville,3,55,,16.8,6.9,2.7,1.4,,-0.3,-0.015
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,New York Liberty,Kylee Shook,,Louisville,2,50,,17.1,5,3.5,1,,0.4,0.02
14,Indiana Fever,Kathleen Doyle,,Iowa,1,18,,8.6,1.5,0.8,1.1,,-0.7,-0.189
15,New York Liberty,Leaonna Odom,,Duke,2,40,,16.8,4.4,1.8,0.6,,1.1,0.063
16,Minnesota Lynx,Crystal Dangerfield,,UConn,5,153,,22.1,7.5,2,2.7,,4.9,0.059
17,Atlanta Dream,Brittany Brewer,,Texas Tech,1,5,,6.6,0.8,1,0,,0.1,0.065
18,Phoenix Mercury,Te'a Cooper,,Baylor,2,51,,20.1,8.2,1.5,1.6,,0.3,0.012
19,Seattle Storm,Joyner Holmes,,Texas,6,117,,8.9,2.7,2,0.7,,0,0.002
20,Los Angeles Sparks,Beatrice Mompremier,,Miami (FL),3,74,,8.6,2,2.8,0.2,,1.2,0.074
21,Dallas Wings,Luisa Geiselsoder,Germany,,1,28,,22.4,6.9,4.8,1.6,,0.8,0.048
22,Los Angeles Sparks,Leonie Fiebich,Germany,,2,77,,24.4,7.6,3.3,1.7,,6.3,0.134
