year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2026,81098,Samantha Battle,New Haven,0,0,0,0,0,0,0,1,0,0,0,0
2026,81099,Jasmine Mckay,New Haven,19,16,5,3,13,1,23,57,16,0,0,0
2026,81102,Breaunna Ward,Evansville,56,77,26,25,53,9,7,25,5,0,0,0
2026,81103,Julia Hall,IU Indy,28,32,18,2,7,1,1,19,1,0,0,0
2026,81105,Lauren Nelson,Alcorn St.,34,19,20,20,57,15,12,31,10,0,0,0
2026,81106,Aolani Woldai,UTEP,11,4,3,6,24,1,2,16,2,0,0,0
2026,81107,Brooklyn Terry,UTEP,3,3,2,9,10,6,5,25,5,0,0,0
2026,81108,Tali Fa'i,Sacramento St.,3,2,2,2,4,0,6,10,6,0,0,0
2026,81109,Ajong Lual,Sacramento St.,3,7,1,1,0,0,0,0,0,0,0,0
2026,81110,Makyiah Ward,Saint Francis,31,42,9,19,29,4,8,21,8,0,0,0
2026,81111,Yevheniia Putra,Louisville,21,8,14,6,24,5,0,0,0,0,0,0
2026,81113,Tayah Morgan,West Georgia,0,1,0,0,2,0,4,12,4,0,0,0
2026,81114,Rissi Smith,Stonehill,3,2,2,3,2,1,4,15,4,0,0,0
2026,81115,Keyiona Mcdaniel,Lamar,5,11,3,0,5,0,3,11,3,0,0,0
2026,81116,Meghan Yarnevich,LSU,14,17,6,0,2,0,0,0,0,0,0,0
2026,81117,Danielle Osho,Miami FL,10,20,9,9,14,5,8,37,7,0,0,0
2026,81118,Sienna Harvey,Washington,22,14,11,10,25,3,6,11,5,0,0,0
2026,81119,Meredith Tippner,Miami FL,9,9,4,6,18,2,4,11,4,0,0,0
2026,81120,Natalie Wetzel,Miami FL,23,8,19,9,15,7,21,43,20,0,0,0
2026,81121,Brynn McGaughy,Washington,74,40,47,51,79,26,5,22,5,1,1,1
2026,81126,Isabella Anderson,Valparaiso,0,4,0,1,10,0,4,16,3,0,0,0
2026,81127,Lea Bartelme,Maryland,8,6,3,0,0,0,3,4,3,0,0,0
2026,81128,Marya Boiko,Maryland,25,19,20,10,25,9,0,2,0,0,0,0
2026,81129,Nicole Fritea,Maryland,2,2,2,1,2,1,1,0,1,0,0,0
2026,81130,Riley Stoker,Appalachian St.,14,5,12,4,5,2,3,8,3,0,0,0
2026,81131,Addi Mack,Maryland,61,68,21,37,42,8,26,61,23,0,0,0
2026,81132,Olivia Lutterodt,Saint Joseph's,1,0,1,0,1,0,0,1,0,0,0,0
2026,81133,Rainey Welson,Maryland,10,8,7,6,12,3,19,41,18,0,0,0
2026,81134,Olivia Vinson,Lipscomb,6,3,4,1,3,0,14,43,11,0,0,0
2026,81135,Hope Counts,Lipscomb,38,37,16,13,31,4,14,42,12,0,0,0
2026,81137,Maris Zurliene,Lipscomb,12,9,5,3,8,1,15,46,15,0,0,0
2026,81138,Sarah Deng,Florida,2,2,1,1,2,1,0,1,0,0,0,0
2026,81140,Sophie Buzzard,Portland St.,19,9,12,9,27,2,11,42,10,0,0,0
2026,81143,Maya Makalusky,Indiana,28,6,16,9,13,3,64,106,64,0,0,0
2026,81144,Gift Ezekiel,Florida,27,14,18,1,5,1,0,0,0,0,0,0
2026,81145,Evie Leeson,Utah Valley,1,3,0,0,2,0,0,0,0,0,0,0
2026,81146,Nyadieng Yiech,Florida,42,19,18,3,14,1,22,37,20,0,0,0
2026,81147,Jaliya Davis,Kansas,150,71,109,36,43,22,0,0,0,1,0,1
2026,81148,Paloma Munoz Herreros,Utah St.,10,13,2,3,7,0,11,28,10,0,0,0
2026,81149,Zyniah Thomas,Eastern Kentucky,4,8,2,2,5,1,3,7,3,0,0,0
2026,81150,Aitana Rosello Lopez,Utah St.,30,35,13,8,23,2,3,28,3,0,0,0
2026,81152,Bella Cosme,Utah St.,1,2,0,2,6,0,9,31,8,0,0,0
2026,81153,Macie Brown,Utah St.,22,17,18,0,4,0,1,21,1,0,0,0
2026,81154,Katie Drozd,New Haven,0,1,0,1,0,0,1,2,1,0,0,0
2026,81156,Zoriahn Davis,Louisiana,0,0,0,0,1,0,0,0,0,0,0,0
2026,81157,Renelle Grannum,New Haven,5,11,2,8,34,1,6,20,4,0,0,0
2026,81158,Sierra Patricio,Saint Peter's,2,3,0,1,1,0,1,5,1,0,0,0
2026,81159,Schuyler Coles,New Haven,23,25,7,13,29,5,17,45,12,0,0,0
2026,81160,Isa Hämäläinen,Colorado,1,0,1,0,0,0,0,4,0,0,0,0
2026,81161,Leah West,Belmont,6,11,5,0,3,0,6,19,6,0,0,0
2026,81164,Kate McGinnis,Belmont,2,5,0,0,5,0,5,16,5,0,0,0
2026,81165,Dora Toman,Tulsa,42,19,27,8,4,4,35,68,31,0,0,0
2026,81166,Kamryn McLaurin,Houston Christian,59,63,22,10,28,4,14,32,13,0,0,0
2026,81167,Ibifaa Azogu,Texas A&M,0,0,0,0,0,0,0,1,0,0,0,0
2026,81168,Gianna Gentry,Texas A&M,0,0,0,0,0,0,0,1,0,0,0,0
2026,81169,Megan Nestor,North Texas,111,55,68,29,56,15,0,0,0,0,0,0
2026,81170,Taylor Crawford,Mississippi Valley St.,11,18,5,6,19,3,0,4,0,0,0,0
2026,81171,Camryn O'Neil,Jackson St.,8,17,1,7,32,1,8,20,7,0,0,0
2026,81172,Arizana Peaua,Weber St.,13,20,6,1,4,0,0,1,0,0,0,0
2026,81173,Amaya Thomas,Tennessee Tech,14,23,3,6,8,3,2,14,2,0,0,0
2026,81174,Desiree Smith,Mississippi Valley St.,38,53,20,6,22,1,0,0,0,0,0,0
2026,81175,Jordin Blackmon,Rice,20,10,10,11,33,3,7,24,7,0,0,0
2026,81176,Emilee Skinner,Duke,4,8,2,1,5,0,0,2,0,0,0,0
2026,81178,Alex Flattery,South Dakota,13,11,5,2,12,1,3,3,3,0,0,0
2026,81179,Allison Rickman,North Texas,1,3,0,0,3,0,0,4,0,0,0,0
2026,81180,Audreonia Benson,UCF,13,7,5,5,5,0,3,10,3,0,0,0
2026,81181,Sara Barhoum,Oregon,0,0,0,0,1,0,4,11,4,0,0,0
2026,81182,JBionna Robinson,Northern Arizona,37,50,4,8,21,3,1,6,1,0,0,0
2026,81185,Myla Harbor,Texas St.,1,1,1,0,1,0,0,0,0,0,0,0
2026,81186,Kyaija Stewart,Texas St.,3,4,1,1,2,1,0,0,0,0,0,0
2026,81187,Kaliyah Murphy,Texas St.,29,23,16,2,13,2,0,0,0,0,0,0
2026,81188,Katlin Kangur,Idaho,8,13,2,2,1,0,6,13,6,0,0,0
2026,81189,Maiesha Washington,Missouri St.,67,29,38,41,108,26,2,8,1,0,0,0
2026,81190,Audrey Hopkins,Missouri St.,6,7,2,7,10,5,11,26,10,0,0,0
2026,81191,Kendal Brueggen,Missouri St.,46,16,24,12,27,6,21,65,19,0,0,0
