player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,bt_fetch_year
Grace Hall,SMU,ACC,27,48.9,86.3,13.9,42.5,44.42,4.8,14.2,10.8,22.1,15,26,0.577,33,78,0.423,14,49,0.286,6.6,2.8,20.5,Sr,6-1,7,0.473196,82.4761,2.7,2026,71028,"Homewood, IL",83,0.90909829,17,38,11,33,0.4474,0.3333,0,0,,,99.5569,93.9352,1.83003,128.22,3.22002,-0.206783,3.4268,2.08394,21.7333,0.382534,1.7014,1.037,2.8519,3.8889,1.1111,1.1111,1.5556,4.5556,Wing G,4.58714,,2026
Shay Ciezki,Indiana,B10,31,85.9,113.7,29.6,60.6,64.74,1,10.8,21.6,18.7,109,120,0.908,181,317,0.571,79,177,0.446,0.4,2.5,24.3,Sr,5-7,10,7.49433,137.078,2.7,2026,71030,"Lancaster, NY",89,0.89620989,80,116,101,201,0.6897,0.5025,0,0,,,99.3616,88.1007,3.70561,213.467,9.50801,8.3098,1.19821,10.7587,35.4774,8.82291,1.9358,0.2581,3.5806,3.8387,3.0645,1.5484,0.1613,22.8387,Combo G,9.24613,,2026
Taleiyah Gibbs,Texas St.,SB,28,34.5,92.5,13.6,53.3,55.38,5.1,8.2,8.8,29.3,10,14,0.714,30,57,0.526,7,19,0.368,0.8,1.9,18.4,Jr,6-0,13,0.289288,82.2442,2.6,2026,71031,"Charleston, SC",,0.58066389,24,34,6,23,0.7059,0.2609,0,0,,,97.9958,98.4854,0.944385,68.342,-1.93152,-1.08315,-0.848373,-1.46961,13.78,-0.820495,-0.649114,0.6667,1.1333,1.8,0.6,0.5,0.1333,3.3667,Wing G,2.70104,,2026
Anna Foley,Quinnipiac,MAAC,34,53.8,104.2,27.8,49.3,51.94,6.8,23.5,28.1,16.8,44,62,0.71,135,275,0.491,9,26,0.346,5.4,3.2,20.6,Jr,6-3,23,2.64119,111.56,4.6,2026,71034,"Andover, MA",,1.60002482,55,89,80,186,0.618,0.4301,0,0,,,72.9333,77.7953,3.01825,191.685,7.51644,1.94368,5.57276,7.48229,21.6059,2.87087,4.61142,1.2059,4.2941,5.5,2.5882,1.1176,1.0588,10.0294,Wing G,2.208,,2026
Ava Sollenne,Quinnipiac,MAAC,17,5.2,84.2,8.1,50,45.05,1.7,9.9,4.8,21.7,0,2,0,1,1,1,2,7,0.286,0,3.5,25,Jr,5-6,24,-0.179275,63.8832,2.2,2026,71035,"Greenwich, CT",,1,1,1,0,0,1,,0,0,,,81.3549,91.5149,0.388386,14.0908,-0.170657,-1.71434,1.54368,-3.21681,4.1941,-4.64559,1.42877,0.0588,0.3529,0.4118,0.1176,0.2353,0,0.4706,Wing G,6.15039,,2026
Riley Rismiller,Kent St.,MAC,29,61.9,97.9,17.3,48.9,54.34,7.7,17,5,24.2,54,71,0.761,86,170,0.506,3,15,0.2,2.9,0.6,38.4,Jr,6-4,30,1.62039,95.0703,3.5,2026,71038,"Coldwater, OH",,0.28068743,66,119,20,51,0.5546,0.3922,0,0,,,96.3539,95.5291,1.94803,143.054,-1.03197,-0.756838,-0.275129,-0.576691,24.2323,0.159841,-0.736532,1.7419,4.0645,5.8065,0.5161,0.2903,0.6774,8.2258,Wing G,1.16271,,2026
Jada Ryce,Winthrop,BSth,23,33.3,67.6,15.6,34.9,37.65,3.7,7.7,5.6,29.1,9,12,0.75,25,48,0.521,5,45,0.111,0,1.1,12.9,Sr,5-5,10,-1.00582,58.9389,2.2,2026,71040,"Mcdonough, GA",,0.39396364,6,9,19,39,0.6667,0.4872,0,0,,,103.248,113.303,0.285424,58.3919,-10.2522,-5.46636,-4.78582,-10.1771,16.7292,-5.61097,-4.56618,0.5417,1.1667,1.7083,0.5417,0.375,0,3.2917,Wing G,6.4043,,2026
Bukky Akinsola,North Alabama,ASun,11,20.5,68.2,26.2,29.1,32.35,4.9,9.1,26.9,25.2,11,18,0.611,22,73,0.301,3,18,0.167,0.9,3.8,19.8,Sr,5-6,0,-0.444088,70.3472,2.3,2026,71042,"Hillside, NJ",,1.37928103,21,57,1,16,0.3684,0.0625,0,0,,,90.3963,96.2732,1.66341,51.8217,-6.01448,-5.59547,-0.419011,-5.5135,22.5308,-4.73462,-0.778888,0.8462,2.3077,3.1538,3.0769,1.4615,0.1538,6.3077,Scoring PG,4.25624,,2026
Anaiah Jenkins,Radford,BSth,34,39.2,87.6,23,39.1,42.73,11.6,16.5,11.3,18.4,30,42,0.714,64,162,0.395,9,36,0.25,1.2,2.3,21.2,Jr,6-0,44,0.581263,86.8712,5.7,2026,71043,"Odenton, MD",,0.73167088,41,93,23,69,0.4409,0.3333,0,0,,,84.6285,91.4602,1.45681,122.309,-2.71139,-2.08944,-0.621945,-3.9292,16.3611,-2.86139,-1.0678,2.0833,2.5,4.5833,0.8333,0.6667,0.1667,5.8333,Wing G,3.70954,,2026
Ines Bettencourt,Gonzaga,WCC,33,62.4,90.3,17.6,40.6,43.41,3.5,10.8,20.2,27.2,27,38,0.711,49,136,0.36,28,88,0.318,1.2,3.2,17,Sr,5-9,8,1.15212,89.1126,3.4,2026,71046,"Sao Miguel, Portugal",,1.3888991,27,64,22,72,0.4219,0.3056,0,0,,,90.9727,87.4119,2.74749,180.254,3.37999,1.27296,2.10703,1.83491,26.203,-0.459922,2.29483,0.7576,2.6061,3.3636,3.0303,1.4545,0.303,6.3333,Scoring PG,5.87002,,2026
Nevaeh Ferrara Horne,San Francisco,WCC,26,19,67.8,12.4,39,41.45,4.9,11.6,4.9,36.1,6,11,0.545,13,31,0.419,2,10,0.2,3.6,1.7,26.8,Jr,6-2,7,-0.563852,59.3615,3.1,2026,71047,"Regina, Canada",,0.3636475,12,25,1,6,0.48,0.1667,0,0,,,92.3665,91.6499,0.889028,52.1847,-2.91903,-5.04412,2.12509,-2.42889,10.263,-3.60338,1.17449,0.4444,1.1111,1.5556,0.2963,0.3333,0.3704,1.8148,Wing G,2.12737,,2026
Mariam Traore,BYU,B12,3,0.6,126.4,19.3,33.3,51.55,11.8,23.2,0,0,2,2,1,1,3,0.333,0,0,0,0,12.5,66.7,Fr,6-3,30,0.527246,128.001,0,2026,71053,,,0,1,3,0,0,0.3333,,0,0,,,63.6508,57.353,0.619357,3.72203,7.98156,4.32544,3.65612,15.6087,2.9333,5.61419,9.99454,0.3333,0.6667,1,0,0.6667,0,1.3333,Wing G,0,,2026
Keiori Lee,East Texas A&M,Slnd,1,0.3,50,19.2,0,0,37.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sr,5-10,2,-0.326053,42.6431,0,2026,71054,"Flint, MI",,0,0,0,0,0,,,0,0,,,108.289,127.765,-0.0929225,0.266916,-16.7729,-3.78748,-12.9854,-19.077,2.8,-5.42436,-13.6527,1,0,1,0,0,0,0,PF/C,16.9454,,2026
Kailyn Nash,Morgan St.,MEAC,24,57.1,82.2,23.2,39,47.46,5.3,17.1,9,23.8,76,99,0.768,66,161,0.41,9,43,0.209,3,2.2,48.5,Sr,5-10,10,0.928344,85.9013,2.9,2026,71058,"Muskegon, MI",,0.31248361,33,67,33,94,0.4925,0.3511,0,0,,,100.199,107.903,0.985669,137.22,-3.9984,-2.17279,-1.82561,-4.2537,27.725,-1.61034,-2.64336,1.3333,4.25,5.5833,0.8333,1.0417,0.8333,9.7917,Wing G,3.70637,,2026
