year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2021,67906,Ashley Austin,Cal St. Bakersfield,3,1,1,1,3,1,0,0,0,0,0,0
2021,67907,Faith Adams,UNC Asheville,15,35,3,7,29,1,19,62,17,0,0,0
2021,67910,Sophia Tougas,Cal St. Bakersfield,4,3,3,2,7,2,21,35,21,0,0,0
2021,67911,Rachel Kuhl,Saint Peter's,1,18,0,3,13,0,10,43,9,0,0,0
2021,67913,Tiera White,Quinnipiac,11,8,8,5,10,5,1,8,1,0,0,0
2021,67915,Fabienne Eggenschwiler,Lehigh,0,0,0,0,0,0,1,2,1,0,0,0
2021,67917,Paula Salazar,Wyoming,5,11,1,1,4,1,1,11,1,0,0,0
2021,67918,Grace Ellis,Wyoming,9,15,4,0,6,0,7,17,7,0,0,0
2021,67919,Mackenzie Kramer,Lehigh,8,6,4,12,25,4,27,52,24,0,0,0
2021,67920,Lexi Bull,Wyoming,0,0,0,0,0,0,1,1,1,0,0,0
2021,67935,Mallory McDermott,Western Illinois,5,7,1,1,5,0,11,29,11,0,0,0
2021,67937,Frida Formann,Colorado,20,24,6,11,28,2,59,85,47,0,0,0
2021,67938,Tenin Magassa,Dayton,42,31,24,34,40,31,0,1,0,0,0,0
2021,67948,Jaelyn Batts,Boston College,23,14,13,17,47,3,0,0,0,0,0,0
2021,67949,Jazion Jackson,North Texas,31,15,11,10,31,1,17,40,17,0,0,0
2021,67950,Suzi-Rose Deegan,Davidson,29,16,11,8,21,3,8,23,6,0,0,0
2021,67951,Bella Smuda,Liberty,63,47,42,14,20,8,0,2,0,0,0,0
2021,67952,Aicha Coulibaly,Auburn,28,25,13,12,30,6,5,28,4,0,0,0
2021,67954,Bengisu Alper,Colorado St.,5,7,2,6,6,0,3,3,2,0,0,0
2021,67958,Abbey Ellis,Cal Poly,45,34,8,40,87,7,42,74,33,0,0,0
2021,67988,Ene Adams,Wichita St.,14,27,7,1,8,1,1,3,1,0,0,0
