season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Betsey Burnett,Western Carolina,F,So,,19.5,"5'8""","5'9""",1.48,76.72,80.59,27.01,N/A,N/A,N/A,,18.34,51.66,26.0,22.7,56.9
2026,Lauren Lee,Purdue Fort Wayne,G,Sr,,21.5,"5'7""",N/A,,,130.64,85.93,N/A,N/A,N/A,,17.42,44.95,34.0,29.1,72.7
2026,Dania McClain,Robert Morris,,Fr,,18.5,"6'2""",N/A,,,90.3,39.67,N/A,N/A,N/A,,23.84,83.3,16.0,5.3,5.7
2026,Harissoum Coulibaly,Auburn,G,Fr,,18.5,"5'10""","5'11""",1.08,69.4,127.95,84.07,N/A,N/A,N/A,,25.66,88.86,31.0,26.6,63.9
2026,Clara Bielefeld,TCU,,Fr,,18.5,"6'4""","6'1""",-2.89,6.61,111.16,68.27,N/A,N/A,N/A,,12.36,12.99,30.0,12.9,25.2
2026,Sanai Tyler,Bethune Cookman,F,Jr,,20.5,"6'0""","6'1""",0.64,60.6,129.42,84.95,N/A,N/A,N/A,,16.04,35.52,28.0,22.3,51.0
2026,Jestiny Dixon,Southern,F,Jr,,20.5,"5'8""","5'11""",3.48,97.68,130.41,85.66,N/A,N/A,N/A,,14.76,26.15,31.0,20.3,49.5
2026,Freya Jensen,Iowa St.,G,Fr,,18.5,"5'10""",N/A,,,63.56,10.21,N/A,N/A,N/A,,22.55,77.26,11.0,6.2,5.5
2026,Reese Beaty,Iowa St.,G,Fr,,18.5,"5'8""","5'11""",2.83,94.97,151.93,94.85,N/A,N/A,N/A,,20.93,68.76,27.0,20.6,43.4
2026,Joi Williams,Merrimack,G,Fr,,18.5,"5'0""",N/A,,,71.66,17.19,N/A,N/A,N/A,,19.33,58.71,30.0,12.1,29.1
2026,Lara Somfai,Stanford,,Fr,,18.5,"6'3""","6'2""",-1.24,26.25,96.96,48.56,N/A,N/A,N/A,,23.33,81.0,32.0,26.3,65.0
2026,Amy Terrian,Michigan St.,G,Fr,,18.5,"5'8""","5'9""",1.47,76.49,173.71,98.12,N/A,N/A,N/A,,16.8,40.9,23.0,10.5,18.8
2026,Kamiyha Griffin,Alabama A&M,F,So,,19.5,"5'10""","5'11""",0.91,66.46,98.11,50.26,N/A,N/A,N/A,,15.74,33.16,29.0,11.3,26.0
